id,name,other_trades,other_trades_parenth,role_primary,relation_to,guild_memberships,seller_descriptions,maker_descriptions,material,qualifier_im,seller_trades,seller_trades_parenth,maker_trades,maker_trade_parentheses_1,maker_qualifier
349,EGLINTON,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Spectacle,Unknown,Unknown
349,EGLINTON,Unknown,Unknown,Unknown,Unknown,Spectaclemakers,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
380,SAUNDERS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Spectacle,Unknown,Unknown
380,SAUNDERS,Unknown,Unknown,Unknown,Unknown,Spectaclemakers,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
548,ABBOTT,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Spectacle,Unknown,Unknown
548,ABBOTT,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Spectacle,Unknown,Unknown
548,ABBOTT,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Tortoiseshell,Unknown,Unknown,Unknown,Unknown
548,ABBOTT,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
548,ABBOTT,Unknown,Unknown,Unknown,Unknown,Spectaclemakers,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
792,WOOD,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Mathematical,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
792,WOOD,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1122,AARON,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1132,ACCUM,Unknown,Unknown,Unknown,Unknown,Unknown,Philosophical,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1316,SAUNDERS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Spectacle,Unknown,Unknown
1316,SAUNDERS,Unknown,Unknown,Unknown,Unknown,Spectaclemakers,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1670,AARON & SON,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1671,AARON & CO.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1983,ADAMS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Spectacle,Unknown,Unknown
1983,ADAMS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Spectacle,Unknown,Unknown
1983,ADAMS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1983,ADAMS,Unknown,Unknown,Unknown,Unknown,Blacksmiths,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1984,ADAMS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Mathematical,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1984,ADAMS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Philosophical,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1984,ADAMS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Optical,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1984,ADAMS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1984,ADAMS,Unknown,Unknown,Unknown,Unknown,Blacksmiths,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2028,CARPENTER,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Philosophical,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
