source,relationship,target
5721,CHILD_OF,1068
5721,PARENT_OF,9339
1068,HAD_APPRENTICE,8802
8802,PARTNERSHIP,5736
1068,HAD_APPRENTICE,5735
5721,APPRENTICED_TO,1068
9339,CHILD_OF,5721
5300,APPRENTICED_TO,698
5300,HAD_APPRENTICE,1068
9339,APPRENTICED_TO,5721
8857,SEE_ALSO,1068
8857,ASSOCIATED_WITH,9036
8857,SEE_ALSO,7794
4656,SAME_PREMISES_AS,4226
4656,SEE_ALSO,5721
4656,SEE_ALSO,5736
4656,SEE_ALSO,5288
8775,SEE_ALSO,5288
8775,SEE_ALSO,5735
8775,SEE_ALSO,5735
8803,SEE_ALSO,1068
8803,SUCCEEDED__BY,5736
8803,TOOK_OVER_FROM,1068
4657,TOOK_OVER_FROM,5736
8803,SEE_ALSO,5721
8803,SEE_ALSO,5735
5736,TOOK_OVER_FROM,1068
5736,SEE_ALSO,1068
6148,SUCCEEDED__BY,6146
4355,PARENT_OF,6149
4355,TOOK_OVER_FROM,4381
4355,SUCCEEDED__BY,7500
4355,EMPLOYED_BY,4355
4355,WORKED_FOR,2256
4355,WORKED_FOR,826
4355,WORKED_FOR,795
1133,SUCCEEDED__BY,1134
1133,SEE_ALSO,819
564,TOOK_OVER_FROM,565
6151,SEE_ALSO,6152
6152,SEE_ALSO,6151
565,SUCCEEDED__BY,564
10546,TOOK_OVER_FROM,6155
6158,SEE_ALSO,6157
9747,CHILD_OF,6160
6159,SEE_ALSO,9763
6160,CHILD_OF,9746
6160,PARENT_OF,9747
6160,SUCCEEDED__BY,9747
9763,CHILD_OF,9746
1741,SUCCEEDED__BY,1736
6160,SIBLING_OF,9763
9747,UNKNOWN_RELATION,9746
1741,TOOK_OVER_FROM,1831
6160,PARTNERSHIP,6159
9747,TOOK_OVER_FROM,6160
9747,PARENT_OF,9747
6160,TOOK_OVER_FROM,6159
9763,PARTNERSHIP,6159
9746,PARENT_OF,9763
9763,SIBLING_OF,6160
8406,TOOK_OVER_FROM,4665
4665,SUCCEEDED__BY,8406
30,HAD_APPRENTICE,1381
30,SEE_ALSO,691
30,APPRENTICED_TO,282
2866,HAD_APPRENTICE,3430
2866,PARENT_OF,3852
2859,HAD_APPRENTICE,3090
2859,SIBLING_OF,3852
2866,SUCCEEDED__BY,3852
2866,APPRENTICED_TO,2568
3852,CHILD_OF,2866
3852,HAD_APPRENTICE,1382
3852,HAD_APPRENTICE,8735
2859,CHILD_OF,2866
2866,HAD_APPRENTICE,3467
6164,CHILD_OF,2663
6164,TOOK_OVER_FROM,6163
6164,SEE_ALSO,2663
4663,SEE_ALSO,2663
2663,SEE_ALSO,6164
9385,SEE_ALSO,3777
9385,SEE_ALSO,6163
9385,TOOK_OVER_FROM,6164
6163,SUCCEEDED__BY,6164
6163,TOOK_OVER_FROM,2663
3428,SEE_ALSO,9945
6168,WORKED_FOR,2003
8649,SEE_ALSO,3428
3541,HAD_APPRENTICE,2921
3590,SEE_ALSO,6507
566,ASSOCIATED_WITH,1584
566,EMPLOYED_BY,4427
566,EMPLOYED_BY,4428
566,HAD_APPRENTICE,4664
566,EMPLOYED_BY,5236
566,EMPLOYED_BY,4414
566,EMPLOYED_BY,5421
1739,APPRENTICED_TO,324
1739,HAD_APPRENTICE,8943
1738,WORKED_FOR,2389
4666,CHILD_OF,566
4664,CHILD_OF,566
1591,PARENT_OF,1580
1739,PARENT_OF,1738
