id,other_trades,other_trades_parenth,role_primary,relation_to,guild_memberships,seller_descriptions,maker_descriptions,material,qualifier_im,seller_trades,seller_trades_parenth,maker_trades,maker_trade_parentheses_1,maker_qualifier
252,,,,,Spectaclemakers,,,,,,,,,
253,,,,,Spectaclemakers,,,,,,,,,
254,,,,,,,,,,,,Globe,,
254,,,,,Vintners,,,,,,,,,
255,,,,,,,,,,,,,,
256,,,,,,,,,,,,,,
256,,,Merchant ,,,,,,,,,,,
257,,,,,,,,,,,,Telescope,,
257,,,,,,,,,,,,Telescope,,
257,,,,,,,,,,,,Spectacle,,
257,,,,,,,,,,,,Spectacle,,
257,,,,,,,,,,,,,,
258,,,,,,,,,,,,Scale,,
258,,,,,,,,,,,,Powder flask,,
258,,,,,,,,,,,,Inkstand,,
260,,,,,,,,,,,,Rule,Ivory & Box,
261,,,,,,,,,,,,Buckle,,
261,,,,,,,,,,,,Sundial,,
261,,,,,,,,,,,,Ring,,
262,,,,,,,Mathematical,,,,,,,
262,,,,,Clockmakers,,,,,,,,,
263,,,,,,,,,,,,Rule,,
265,,,,,,,,,,,,,,
266,,,,,,,Mathematical,,,,,,,
267,,,,,,,,,,,,Hourglass,,
268,,,,,,,,,,,,,,
269,,,,,,,,,,,,,,
270,,,,,,,Mathematical,,,,,,,
270,,,,,Clockmakers,,,,,,,,,
271,,,,,,,Mathematical,,,,,,,
271,,,,,Grocers,,,,,,,,,
272,,,,,,,,,,,,,,
272,,,,,Spectaclemakers,,,,,,,,,
273,,,,,,,,,,,,,,
273,,,,,Spectaclemakers,,,,,,,,,
273,,,,,Turners,,,,,,,,,
274,,,,,,,,,,,,Spectacle,,
276,,,,,,,Mathematical,"silver, brass, ivory, wood",,,,,,
276,,,,,Joiners,,,,,,,,,
277,,,,,,,,,,,,Clock,,
277,,,,,Clockmakers,,,,,,,,,
278,,,,,Clockmakers,,,,,,,,,
279,,,,,,,Mathematical,gold,,,,,,
279,,,,,Clockmakers,,,,,,,,,
280,,,,,,,,,,Map,,,,
280,,,,,,,Optical,,,,,,,
280,,,,,Spectaclemakers,,,,,,,,,
281,,,,,,,,,,,,Instrument,,
282,,,,,,,,,,,,Spectacle,,
282,,,,,,,Optical,,,,,,,
282,,,,,Spectaclemakers,,,,,,,,,
283,,,,,,,Mathematical,,,,,,,
283,,,,,Clockmakers,,,,,,,,,
284,,,,,,,,,,Map,,,,
284,,,,,,,Nautical,,,,,,,
284,,,,,,,Mathematical,,,,,,,
284,,,,,Merchant Taylors,,,,,,,,,
285,,,,,,,,,,Book,,,,
286,,,,,,,Mathematical,,,,,,,
286,,,,,Broderers,,,,,,,,,
286,,,Engraver,book,,,,,,,,,,
287,,,,,,,Mathematical,,,,,,,
287,,,,,Grocers,,,,,,,,,
288,,,,,,,,,,,,Rule,Ivory & Box,
289,,,,,,,Philosophical,,,,,,,
289,,,,,Drapers,,,,,,,,,
290,,,,,,,Optical,,,,,,,
290,,,,,Spectaclemakers,,,,,,,,,
291,,,,,,,Pneumatical,,,,,,,
291,,,,,,,Philosophical,,,,,,,
293,,,,,,,Mathematical,,,,,,,
293,,,,,Broderers,,,,,,,,,
294,,,,,Masons,,,,,,,,,
295,,,,,,,,,,,,Map,,
295,,,,,,,,,,,,Globe,,
295,,,,,,Mathematical,,,,,,,,
295,,,,,Stationers,,,,,,,,,
295,,,Engraver,,,,,,,,,,,
296,,,,,,,,,,Map,,,,
296,,,,,,,,,,Globe,,,,
296,,,Publisher,,,,,,,,,,,
297,,,,,,,,,,,,Map,,
297,,,,,,,,,,,,Globe,,
298,,,,,,,,,,,,Globe,,
300,,,,,,,,,,,,Thermometer,,
300,,,,,,,,,,,,Thermometer,,
