source,target,relationship
4600,2137,ASSOCIATED_WITH
4600,2934,SIBLING_OF
4600,566,ASSOCIATED_WITH
4600,5030,PARENT_OF
6087,6086,SEE_ALSO
6089,7474,TOOK_OVER_FROM
1751,1749,SPOUSE_OF
1751,3423,HAD_APPRENTICE
1751,3008,HAD_APPRENTICE
1751,2394,APPRENTICED_TO
1751,2359,HAD_APPRENTICE
1749,1751,SPOUSE_OF
3423,3461,SUCCEEDED__BY
3423,8608,SEE_ALSO
3423,1751,APPRENTICED_TO
3423,2990,HAD_APPRENTICE
3423,4001,HAD_APPRENTICE
2394,2572,APPRENTICED_TO
2394,3995,HAD_APPRENTICE
2394,2573,APPRENTICED_TO
2394,2360,SEE_ALSO
2394,1751,HAD_APPRENTICE
2394,4509,HAD_APPRENTICE
2394,4498,HAD_APPRENTICE
2359,3432,HAD_APPRENTICE
2359,1751,APPRENTICED_TO
2359,3427,HAD_APPRENTICE
1748,1751,SEE_ALSO
1748,1749,TOOK_OVER_FROM
1750,1751,TOOK_OVER_FROM
1750,1749,SUCCEEDED__BY
1747,1751,ASSOCIATED_WITH
1747,1749,ASSOCIATED_WITH
1165,2650,SEE_ALSO
1165,1047,SEE_ALSO
1165,2651,SEE_ALSO
2650,2651,SUCCEEDED__BY
2650,6091,SEE_ALSO
2650,3513,SEE_ALSO
2650,1047,SEE_ALSO
2650,1165,SEE_ALSO
1985,4098,SUCCEEDED__BY
4098,5064,SEE_ALSO
4098,1985,TOOK_OVER_FROM
5064,1985,SEE_ALSO
5064,4098,SEE_ALSO
5064,3058,SAME_PREMISES_AS
3058,5064,SAME_PREMISES_AS
3058,7254,SEE_ALSO
2651,2650,TOOK_OVER_FROM
2651,6091,SEE_ALSO
2651,3513,SEE_ALSO
2651,1047,SEE_ALSO
2651,6092,SEE_ALSO
2651,4632,SEE_ALSO
6091,2650,SEE_ALSO
6091,6092,SEE_ALSO
6091,1047,SEE_ALSO
6091,3513,SEE_ALSO
3513,6092,SEE_ALSO
3513,1047,SEE_ALSO
3513,2650,SEE_ALSO
3513,6091,SEE_ALSO
3513,6094,SEE_ALSO
1047,6091,SEE_ALSO
1047,2650,SEE_ALSO
1047,3513,SEE_ALSO
1047,2651,SEE_ALSO
